"おはよう ござい ます 。",1
"おはよう 。",1
"朝 ご飯 食べ た ？",1
"食べ た 。 あなた は ？",1
"顔 洗っ て き た ？",1
"洗っ て き た 。",1
"よく 眠れ た ？",1
"眠れ まし た 。",1
"朝食 は 何 を 食べ ます か ？",1
"パン を 食べよ う と 思い ます 。",1
"朝食 の 準備 は 出来 て い ます か ？",1
"もう少し かかり ます 。",1
"ゴミ 出し を し て き て くれる ？",1
"ちょっと それ は 難しい です 。",1
"顔 は 洗っ て き た ？",1
"大丈夫 です 洗っ て き まし た 。",1
"何 か 飲み ます か ？",1
"コーヒー を 飲み たい です 。",1
"歯磨き は 済ませ た ？",1
"済ませ まし た 。",1
"最近 低 血圧 で 辛い ん だ よ ね",1
"それ は 大変 です ね 。",1
"今日 は 良い 天気 です ね 。",1
"そうですね どこ か へ 行く 予定 が あり ます か ？",1
"どこ か へ 行く 予定 は あり ます か ？",1
"今日 は 家 に いる つもり です 。",1
"雨 が 振っ て い ます ね 。",1
"そう です か ？ 外 を 出る 際 に は 傘 を 忘れ ない よう に し て 下さい 。",1
"朝焼け が 綺麗 です ね 。",1
"おはよう ござい ます 早起き です ね 。",1
"今日 は 涼しい です ね 。",1
"外 に 出る に は ちょうど よい かも 知れ ませ ん ね 。",1
"今日 は 蒸し暑い なぁ 。",1
"水分 補給 は しっかり 取っ た ほう が 良い かも 知れ ませ ん 。",1
"もう 夏 な のに 涼しい ね 。",1
"過ごし やすく て ちょうど よい かも 知れ ませ ん 。",1
"冬 な のに 暖かい な 。",1
"今年 は 雪 が 少な そう です ね 。",1
"今日 は 風 が 強い です ね 。",1
"傘 が 折れ て しまわ ない よう に 気 を つけ て 下さい 。",1
"全然 眠れ なかっ た よ 。",1
"今日 は 無理 し ない ほう が 良い です ね 。",1
"寝苦しい 夜 が 続き ます ね 。",1
"体調 は 大丈夫 です か ？",1
"朝 から 花粉 が 厳しい 。",1
"花粉 の 飛ぶ 季節 です から ね 薬 は 飲み まし た か ？",1
"薬 は 飲み まし た か ？",1
"一応 薬 は 飲ん だ よ 。",1
"多少 は 症状 が 軽減 さ れる と 良い です ね 。",1
"お は よー ！",1
"おはよう ござい ます 元気 が 良い です ね 。",1
"お は よ ！",1
"もう少し 寝かせ て 。",1
"時間 は 大丈夫 です か ？",1
"今日 も 暑い ね 。",1
"こう も 暑い と やる気 が 出 ませ ん ね 。",1
"体 が だるい 。",1
"少し 休ん で は いかが です か ？",1
"ご飯 食べ られ ない 。",1
"今日 は 無理 を し ない ほう が 良い かも 知れ ませ ん 。",1
"最近 体 の 調子 が 良い ん だ よ ね 。",1
"この 調子 が 続く と 良い です ね 。",1
"喉 が 乾い た 。",1
"取り敢えず 何 か 一 口 飲み ましょ う 。",1
"お腹 空い た なぁ 。",1
"何 か 口 に 入れ て は いかが です か ？",1
